Title,Description,Priority,State,Labels,Estimate,Team,Assignee,Project,Milestone,Parent
"Ingest Equities via yfinance","Build pipeline for SPY, QQQ, GLD daily/hourly data (2000-2024). Apply auto-adjustment for splits/dividends. ACCEPTANCE: Data covers all 3 regime periods; Adjusted close prices verified; No gaps > 1 day; Hash-stamped output.",1,Backlog,validation|evidence,8,S-DNA,,,Phase 1,"M1: Data Integrity Lock"
"Ingest Crypto via CoinAPI","Acquire BTC-USD and ETH-USD 1-minute flat files for the 2017 window. Implement gap-filling logic for exchange downtime using forward-fill. ACCEPTANCE: 1-minute granularity achieved; Gaps < 5min documented; Hash-stamped output.",1,Backlog,validation|evidence,8,S-DNA,,,Phase 1,"M1: Data Integrity Lock"
"Ingest Macro via FRED API","Connect to FRED API. Fetch VIXCLS (VIX), DFF (Fed Funds Rate), TED Spread, 2Y/10Y Treasury yields. Align timestamps to UTC. ACCEPTANCE: All 4 macro series ingested; UTC alignment verified; Hash-stamped output.",1,Backlog,validation|evidence,5,S-DNA,,,Phase 1,"M1: Data Integrity Lock"
"Code Volatility Estimator","Implement EWM standard deviation of returns with span=20 parameter. Formula: σ_t = EWM(std(returns)). ACCEPTANCE: Unit tests pass; Output matches reference implementation; Configurable span parameter.",1,Backlog,validation,5,S-DNA,,,Phase 1,"M2: Benchmark Baselines"
"Code Triple-Barrier Labeler","Implement Triple-Barrier Method with parameters: M=2 (barrier width in σ), T=10 (vertical barrier days). Labels: 1 (bullish), -1 (bearish), 0 (neutral). ACCEPTANCE: Path-dependency verified; Volatility-adjusted barriers; Hash-stamped config and output.",1,Backlog,validation|gate,13,S-DNA,,,Phase 1,"M2: Benchmark Baselines"
"Build Reproducibility System","Implement SHA-256 hash generation for: (1) Source input CSV, (2) Config parameters JSON, (3) Labeled output. Store hashes in manifest file. ACCEPTANCE: Hash verification script works; Manifest auto-generated; Evidence locker integration.",2,Backlog,evidence|automation,5,S-DNA,,,Phase 1,"M1: Data Integrity Lock"
"Implement PELT Regime Detector","Build TCPD anomaly detection using ruptures library. Algorithm: PELT with RBF cost function. Detects volatility regime changes. ACCEPTANCE: Regimes segmented for all 3 periods (GFC, Crypto, Covid); Penalty parameter tunable.",1,Backlog,validation,8,S-DNA,,,Phase 1,"M2: Benchmark Baselines"
"Build Tier 1 Naive Baselines","Implement Random Walk (P_t+1 = P_t) and Buy-and-Hold strategies. Calculate returns for all 3 regime datasets. ACCEPTANCE: Reproducible runs; Fixed seeds; Sharpe ratio calculated.",2,Backlog,validation,5,S-DNA,,,Phase 1,"M2: Benchmark Baselines"
"Build Tier 2 Technical Baselines","Implement SMA 50/200 crossover and Bollinger Band mean reversion strategies. ACCEPTANCE: Entry/exit signals generated; Transaction costs applied; Performance vs Buy-Hold documented.",2,Backlog,validation,8,S-DNA,,,Phase 1,"M2: Benchmark Baselines"
"Build Tier 3 ARIMA Baseline","Implement ARIMA model for price forecasting. Tune p,d,q parameters. Compare against naive baselines. ACCEPTANCE: Model trained on each regime; AIC/BIC documented; Diebold-Mariano test prepared.",2,Backlog,validation,8,S-DNA,,,Phase 1,"M2: Benchmark Baselines"
"Train LSTM Baseline Model","Implement LSTM architecture for time series prediction on Triple-Barrier labeled data. ACCEPTANCE: Model converges; Validation loss stable; IC > 0.05 on holdout set.",1,Backlog,validation|gate,13,S-DNA,,,Phase 1,"M3: Blind Historical Tests"
"Compute Metric Matrix","Calculate full metric suite: DA, IC, RankIC (signal quality); Sharpe, Sortino, Max Drawdown (risk-adjusted); Precision, Recall, F1, MTTD (reversal). ACCEPTANCE: All metrics computed for all models; League Table generated.",1,Backlog,validation|evidence,8,S-DNA,,,Phase 1,"M4: Accuracy Thresholds Met"
"Run Diebold-Mariano Tests","Execute DM statistical tests comparing S-DNA vs Tier 3 baselines. Threshold: p-value < 0.05 for claimed superiority. ACCEPTANCE: Statistical significance documented; Results in evidence locker.",1,Backlog,validation|gate|evidence,5,S-DNA,,,Phase 1,"M4: Accuracy Thresholds Met"
"Generate League Table Report","Create visualization comparing all models across all metrics. Include: ranking, confidence intervals, regime-specific performance. ACCEPTANCE: PDF/PNG artifacts generated; Hash-stamped; Linear issue attachment.",2,Backlog,evidence,5,S-DNA,,,Phase 1,"M4: Accuracy Thresholds Met"
